URL,Title,Author,Date
https://vnexpress.net/ha-noi-dung-cach-ly-xa-hoi-tu-0h-ngay-23-4-4088721.html,Hà Nội dừng cách ly xã hội từ 0h ngày 23/4,Võ Hải,"Thứ tư, 22/4/2020, 19:48 (GMT+7)"
https://vnexpress.net/lau-nam-goc-noi-kim-jong-un-van-kiem-soat-quan-doi-4088747.html,Lầu Năm Góc nói Kim Jong-un vẫn kiểm soát quân đội,,"Thứ tư, 22/4/2020, 22:53 (GMT+7)"
https://vnexpress.net/giam-doc-cdc-ha-noi-bi-bat-4088709.html,Giám đốc CDC Hà Nội bị bắt,Bá Đô - Tất Định,"Thứ tư, 22/4/2020, 18:44 (GMT+7)"
https://vnexpress.net/chu-tich-quoc-hoi-bo-so-ho-khau-la-giup-dan-4088626.html,Chủ tịch Quốc hội: 'Bỏ sổ hộ khẩu là giúp dân',Hoàng Thùy,"Thứ tư, 22/4/2020, 18:30 (GMT+7)"
https://vnexpress.net/tp-hcm-se-noi-long-kinh-doanh-4088648.html,TP HCM sẽ nới lỏng kinh doanh,Hữu Công,"Thứ tư, 22/4/2020, 17:05 (GMT+7)"
https://vnexpress.net/thu-tuong-chap-thuan-thay-doi-phuong-an-thi-thpt-4088724.html,Thủ tướng chấp thuận thay đổi phương án thi THPT,Dương Tâm,"Thứ tư, 22/4/2020, 19:21 (GMT+7)"
https://vnexpress.net/nguoi-goc-viet-chet-sau-khi-bi-tu-choi-dieu-tri-covid-19-4088521.html,Người gốc Việt chết sau khi bị từ chối điều trị Covid-19,Anh Ngọc,"Thứ tư, 22/4/2020, 15:43 (GMT+7)"
https://vnexpress.net/khi-tran-xuong-ven-duong-tim-thuc-an-4088719.html,Khỉ tràn xuống ven đường tìm thức ăn,Nguyễn Đông,"Thứ tư, 22/4/2020, 22:03 (GMT+7)"
https://vnexpress.net/tien-giang-xin-lam-ho-nuoc-ngot-400-ty-dong-4088636.html,Tiền Giang xin làm hồ nước ngọt 400 tỷ đồng,Hoàng Nam,"Thứ tư, 22/4/2020, 18:14 (GMT+7)"
https://vnexpress.net/chi-cuc-truong-thi-hanh-an-chet-sau-chen-ruou-pha-cyanua-4088600.html,Chi cục trưởng Thi hành án chết sau chén rượu pha cyanua,Lê Hoàng,"Thứ tư, 22/4/2020, 17:28 (GMT+7)"
https://vnexpress.net/trump-doa-ban-xuong-iran-4088731.html,Trump dọa bắn xuồng Iran,Phương Vũ ,"Thứ tư, 22/4/2020, 20:12 (GMT+7)"
https://vnexpress.net/gioi-buon-gom-tung-cho-trong-chua-dau-4088566.html,Giới buôn gom từng chỗ trống chứa dầu,Hà Thu ,"Thứ tư, 22/4/2020, 16:36 (GMT+7)"
https://vnexpress.net/cach-truy-vet-nguoi-nhiem-ncov-bang-smartphone-4088631.html,Cách truy vết người nhiễm nCoV bằng smartphone,,"Thứ tư, 22/4/2020, 21:07 (GMT+7)"
https://vnexpress.net/hoc-sinh-phai-deo-khau-trang-ngoi-cach-nhau-1-5-m-4088649.html,"Học sinh phải đeo khẩu trang, ngồi cách nhau 1,5 m",Dương Tâm,"Thứ tư, 22/4/2020, 17:49 (GMT+7)"
https://video.vnexpress.net/tin-tuc/nhip-song/sieu-thi-0-dong-trong-chua-vinh-nghiem-4088627.html,'Siêu thị 0 đồng' trong chùa Vĩnh Nghiêm,,
https://vnexpress.net/hon-33-000-nguoi-nhiem-ncov-o-dong-nam-a-4088683.html,Hơn 33.000 người nhiễm nCoV ở Đông Nam Á,Phương Vũ,"Thứ tư, 22/4/2020, 18:39 (GMT+7)"
https://vnexpress.net/chieu-nay-khong-them-ca-nhiem-ncov-4088684.html,Chiều nay không thêm ca nhiễm nCoV,Lê Nga,"Thứ tư, 22/4/2020, 18:05 (GMT+7)"
https://vnexpress.net/duong-nhue-bi-khoi-to-trong-vu-an-thu-ba-4088676.html,Đường 'Nhuệ' bị khởi tố trong vụ án thứ ba,Phạm Dự,"Thứ tư, 22/4/2020, 17:49 (GMT+7)"
https://vnexpress.net/298-nguoi-viet-mac-ket-o-nhat-ban-ve-nuoc-4088681.html,298 người Việt mắc kẹt ở Nhật Bản về nước,Minh Cương,"Thứ tư, 22/4/2020, 18:40 (GMT+7)"
https://vnexpress.net/bai-hoc-chong-dich-chien-luoc-phu-hop-dieu-tri-tot-4088481.html,"Bài học chống dịch: Chiến lược phù hợp, điều trị tốt",Lê Nga,"Thứ tư, 22/4/2020, 17:58 (GMT+7)"
https://vnexpress.net/nong-san-do-dong-thoi-rua-khap-the-gioi-vi-covid-19-4088449.html,"Nông sản đổ đống, thối rữa khắp thế giới vì Covid-19",Hồng Hạnh,"Thứ tư, 22/4/2020, 16:24 (GMT+7)"
https://vnexpress.net/duong-em-gai-kim-jong-un-thang-tien-quyen-luc-4088357.html,Đường em gái Kim Jong-un thăng tiến quyền lực,Vũ Anh ,"Thứ tư, 22/4/2020, 15:58 (GMT+7)"
https://vnexpress.net/gian-cach-giau-ngheo-4088457.html,Giãn cách giàu nghèo,,
